Topic,Party,actual,predicted,cf_diff,cf_se,cf_p,more_pct,less_pct,change_diff,change_se,change_p
Believe Trump mishandled docs,Republican,27.105441001691048,24.620037104344654,2.4854038973464125,0.6263118638086163,7.794006173735811e-5,16.15427023866337,39.57386408879473,-23.4195938501314,2.8012574282644422,2.0630656047211345e-16
Believe Trump mishandled docs,Democratic,85.3489075034077,79.51247247483492,5.836435028572734,0.6282111562459571,1.0993247673788427e-19,75.9678868455915,4.98497764544896,70.98290920014261,2.258931786682295,2.871896224734555e-149
Believe Trump mishandled docs,Neither,55.69000819233565,54.23630483152846,1.4537033608071608,0.9434378194425431,0.12417079815967709,37.36892447728628,15.747354613843449,21.621569863442847,3.9023465266661965,5.125683234192065e-8
Vote for Trump (general election),Democratic,11.082691133161909,10.1344825327289,0.9482086004330096,0.7668094636398458,0.21660108157991337,8.004082731589696,60.15210173126495,-52.148018999675195,2.705940565266165,3.9251312253071386e-70
Vote for Trump (general election),Neither,42.21529658782916,41.93675344066476,0.2785431471643985,0.8792719217946693,0.7515898492544542,20.33048588289146,30.822131130960795,-10.491645248069336,4.013972716647343,0.009254770120908931
Vote for Trump (primary election),Republican,64.06975888899265,65.66713532403553,-1.597376435042854,0.596092618177731,0.007492896908526362,43.02995580486831,16.282181684735985,26.747774120132377,2.868458381728846,6.852310693597782e-20
